# http://www.stsci.edu/hst/wfc3/documents/handbooks/currentIHB/c06_uvis07.html#394639
# Table 6.8: WFC3/UVIS PSF Encircled Energy Fraction vs. Aperture radius (arcsec).
# Aperture radius (arcsec) Wavelength (nm)
  0   200   300   400   500   600   700   800   900  1000  1100
0.10 0.660 0.739 0.754 0.745 0.720 0.687 0.650 0.623 0.612 0.605
0.15 0.717 0.793 0.823 0.834 0.832 0.823 0.807 0.778 0.742 0.699
0.20 0.752 0.822 0.845 0.859 0.859 0.857 0.853 0.847 0.844 0.829
0.25 0.781 0.844 0.864 0.875 0.877 0.874 0.870 0.867 0.868 0.864
0.30 0.802 0.858 0.880 0.888 0.890 0.889 0.883 0.879 0.879 0.876
0.40 0.831 0.880 0.899 0.911 0.910 0.907 0.906 0.904 0.900 0.894
0.50 0.861 0.894 0.912 0.923 0.925 0.923 0.918 0.915 0.918 0.917
0.60 0.884 0.906 0.922 0.932 0.934 0.933 0.931 0.927 0.927 0.923
0.80 0.936 0.928 0.936 0.944 0.947 0.946 0.945 0.942 0.944 0.942
1.00 0.967 0.946 0.948 0.954 0.955 0.955 0.955 0.952 0.955 0.952
1.50 0.989 0.984 0.973 0.970 0.970 0.969 0.967 0.966 0.970 0.968
2.00 0.994 0.992 0.989 0.985 0.980 0.977 0.976 0.975 0.978 0.976
