# band  center width     A   aperture   zeropoint    FWHM   mag_limt
  U		 0.3828		 0.0771 		 0.076		 1.2		 25.233		0.85 		 26.7 
  B		 0.4448		 0.1035		 0.068		 1.2		 31.400		0.78		 27.9  
  G		 0.4870		 0.1428		 0.062		 1.2		 26.375		0.85		 27.2  
  V		 0.5470		 0.0993		 0.051		 1.2		 31.400		0.90		 27.2  
F606W	 0.5921		 0.2225 	 0.019		 0.7		 26.491		0.11		 26.7  
  R		 0.6245		 0.1232		 0.044		 1.2 		 25.926		0.78		 27.2  
 Rp		 0.6276		 0.1379 		 0.044		 1.2		 31.400		0.84		 27.3  
  I		 0.7676		 0.1501 		 0.032		 1.2		 25.703		0.81		 27.0  
 Ip		 0.7671		 0.1489 		 0.032		 1.2		 31.40 		0.74		 27.0  
F814W	 0.8057		 0.2358 		  0.029		 0.7		 25.943		0.10		 26.5  
  Z		 0.8872		 0.1719 		  0.025		1.2 		 24.768		0.75		 26.0  
 Zp		 0.9028		 0.1411 		  0.025		1.2 		 31.400		0.87		 25.8  
UVISTA_Y 1.0217 		 0.1026 		 0.020		 1.2		 30.000		0.79		 25.7  
 J1		 1.0460		 0.1471 		 0.019		 1.5		 23.310		1.19		 24.7  
 J2		 1.1946		  0.1476 		0.016		 1.5		 23.350		1.17		 24.5 
 J3		 1.2778		 0.1394 		 0.014		 1.5		 23.370		1.12		 24.4 
F125W	 1.2471		 0.2867 		  0.014		 0.7		 26.247		0.19		26.1  
  J		 1.2530		 0.1541 		 0.014		 1.2		 30.000		0.93		 23.8  
UVISTA_J 1.2527		 0.1703 		 0.017		 1.2		  30.000		0.78		 25.4  
F140W		 1.3924		 0.3760 		 0.012		 0.7		 26.465		0.19		 25.5  
F160W		 1.5396		 0.2744 		 0.010		 0.7		 25.956		0.19		 25.8 
  H1		 1.5601		0.1658  		 0.012		 1.5		 23.590		1.03		 23.7  
  H2		 1.7064		 0.1721		  0.010		 1.5		 23.610		1.24		 23.6  
  H		   1.6294		 0.2766		 0.009		 1.2		 30.000		0.73		 24.0  
UVISTA_H 1.6433		 0.2844 		 0.009		 1.2		 30.000		0.76		 24.9  
  K		   2.1684		0.3181 		 0.005		 1.5		 23.850		1.08		 23.7  
 Ks		   2.1574		 0.3151		 0.005		 1.2		 30.000		0.68		 23.8  
UVISTA_Ks	2.1503 		 0.3109 		 0.005		 1.2		 30.000		0.74		 25.0  
IA427		 0.4260		 0.0223 		 0.069		 1.2		 31.400		0.81		 26.3  
IA464		 0.4633		 0.0238 		 0.063		 1.2		 31.400		0.91		 25.8  
IA484		 0.4847		 0.0250		 0.060		 1.2		 31.400		0.60		 26.4  
IA505		 0.5061		 0.0259		 0.058		 1.2		 31.400		0.83		 26.2  
IA527		 0.5259		 0.0282		 0.056		 1.2		 31.400		0.71		 26.5  
IA574		 0.5763		 0.0303 		 0.051		 1.5		 31.400		1.08		 25.7  
IA624		 0.6231		 0.0337 		 0.042		 1.2		 31.400		0.84		 26.4  
IA679		 0.6782		 0.0372 		 0.038		 1.5		 31.400		1.12		 25.9  
IA709		 0.7074		 0.0358 		 0.040		 1.5		 31.400		1.05		 26.1  
IA738		 0.7359		 0.0355		   0.036		 1.2		 31.400		0.85		 26.0 
IA767		 0.7680		 0.0389 		 0.032		 1.5		 31.400		1.09		 25.7  
IA827		 0.8247		 0.0367 		 0.028		 1.5		 31.400		1.07		 25.6 
IRAC1		 3.5569		 0.7139 		 0.000		 3.0		 21.581		 1.7		 25.1 
IRAC2		 4.5020		 0.9706 		 0.000		 3.0		 21.581		 1.7		 25.0 
IRAC3		 5.7450		 1.3591		   0.000		 3.0		 21.581		  1.9		 21.6 
IRAC4		 7.9158		 2.7893 		 0.000		 3.0		 21.581		  2.0		 21.6 
