#id ra dec xpix ypix rp_tot erp_tot 
# rp erp Ks eKs H eH J eJ Y eY 
# ch4 ech4 ch3 ech3 ch2 ech2 ch1 ech1 
# zp ezp ip eip V eV gp egp B eB u eu 
# IA484 eIA484 IA527 eIA527 IA624 eIA624 IA679 eIA679 IA738 eIA738 IA767 eIA767 IB427 eIB427 IB464 eIB464 IB505 eIB505 IB574 eIB574 IB709 eIB709 IB827 eIB827 fuv efuv nuv enuv mips24 emips24 
# K_flag K_star K_Kron apcor z_spec z_spec_cc z_spec_id star contamination nan_contam flux_rad orig_cat_id orig_cat_field USE
#
# This file is made by Xingxing based on band_cosmos.dat. Used for the center and width.
#
# band  center width     A   aperture   zeropoint    FWHM   mag_limt
  u		 0.3828		 0.0771 		 0.076		 1.2		 25.233		0.85 		 26.7 
  B		 0.4448		 0.1035		 0.068		 1.2		 31.400		0.78		 27.9  
  gp		 0.4870		 0.1428		 0.062		 1.2		 26.375		0.85		 27.2  
  V		 0.5470		 0.0993		 0.051		 1.2		 31.400		0.90		 27.2  
#  R		 0.6245		 0.1232		 0.044		 1.2 		 25.926		0.78		 27.2  
#  I		 0.7676		 0.1501 		 0.032		 1.2		 25.703		0.81		 27.0  
#  Z		 0.8872		 0.1719 		  0.025		1.2 		 24.768		0.75		 26.0  
 Rp    0.6276    0.1379      0.044     1.2     31.400   0.84     27.3  
 ip    0.7671    0.1489      0.032     1.2     31.40    0.74     27.0  
 Zp    0.9028    0.1411       0.025   1.2      31.400   0.87     25.8  
# UVISTA_
Y 1.0217 		 0.1026 		 0.020		 1.2		 30.000		0.79		 25.7  
J 1.2527		 0.1703 		 0.017		 1.2		  30.000		0.78		 25.4  
H 1.6433		 0.2844 		 0.009		 1.2		 30.000		0.76		 24.9  
Ks	2.1503 		 0.3109 		 0.005		 1.2		 30.000		0.74		 25.0  
#IA427        0.4260      0.0223          0.069       1.2         31.400     0.81         26.3  
IB427        0.4260      0.0223          0.069       1.2         31.400     0.81         26.3  
#IA464        0.4633      0.0238          0.063       1.2         31.400     0.91         25.8  
IB464        0.4633      0.0238          0.063       1.2         31.400     0.91         25.8  
IA484		 0.4847		 0.0250		 0.060		 1.2		 31.400		0.60		 26.4  
#IA505        0.5061      0.0259      0.058       1.2         31.400     0.83         26.2  
IB505        0.5061      0.0259      0.058       1.2         31.400     0.83         26.2  
IA527		 0.5259		 0.0282		 0.056		 1.2		 31.400		0.71		 26.5  
#IA574        0.5763      0.0303          0.051       1.5         31.400     1.08         25.7  
IB574        0.5763      0.0303          0.051       1.5         31.400     1.08         25.7  
IA624		 0.6231		 0.0337 		 0.042		 1.2		 31.400		0.84		 26.4  
IA679		 0.6782		 0.0372 		 0.038		 1.5		 31.400		1.12		 25.9  
#IA709        0.7074      0.0358          0.040       1.5         31.400     1.05         26.1  
IB709        0.7074      0.0358          0.040       1.5         31.400     1.05         26.1  
IA738		 0.7359		 0.0355		   0.036		 1.2		 31.400		0.85		 26.0 
IA767		 0.7680		 0.0389 		 0.032		 1.5		 31.400		1.09		 25.7  
#IA827        0.8247      0.0367          0.028       1.5         31.400     1.07         25.6 
IB827        0.8247      0.0367          0.028       1.5         31.400     1.07         25.6 
ch1		 3.5569		 0.7139 		 0.000		 3.0		 21.581		 1.7		 25.1 
ch2		 4.5020		 0.9706 		 0.000		 3.0		 21.581		 1.7		 25.0 
ch3		 5.7450		 1.3591		   0.000		 3.0		 21.581		  1.9		 21.6 
ch4		 7.9158		 2.7893 		 0.000		 3.0		 21.581		  2.0		 21.6 
