# catalog in Van Dan Wel
#\tablehead{
#\colhead{EELG2011}       \colhead{RA (J2000)}       \colhead{DEC (J2000)}       \colhead{H}       \colhead{$EW_{\rm{[OIII]},5007}$}       \colhead{$\beta_{2500}$}       \colhead{$\log{(M)}$}  
#                     (deg)         (deg)                (AB)                ($\rm{\AA}$)                                              ($\msol$)        
#}
#\startdata
#  0       1	      	2               3			                   4		                  5		   	                  6			       
GSD1       53.167064       -27.858936            24.67             0.07              459               40            -1.83             0.09             8.57             0.17   
GSD2       53.080345       -27.850572            25.63             0.07              569               67            -2.04             0.19             7.96             0.19   
GSD3       53.046020       -27.837322            25.88             0.11              507               75            -2.02             0.18             7.94             0.20   
GSD4       53.105087       -27.819974            26.20             0.11              769              143            -1.75             0.30             7.72             0.22   
GSD5       53.067508       -27.773595            25.05             0.08              566               74            -2.19             0.19             8.14             0.19   
GSD6       53.097499       -27.763919            24.99             0.05              700               53            -2.12             0.09             8.10             0.17   
GSD7       53.122127       -27.759542            25.44             0.12              535               99            -1.70             0.28             8.20             0.22   
GSD8       53.171936       -27.759145            24.26             0.04              693               47            -1.76             0.11             8.52             0.17   
GSD9       53.078754       -27.750288            24.86             0.04              468               32            -1.99             0.10             8.42             0.17   
GSD10       53.063690       -27.745853            26.37             0.09              759              134            -1.56             0.33             7.72             0.22   
GSD11       53.007499       -27.741867            25.97             0.09              534               76            -2.13             0.19             7.84             0.20   
GSD12       53.114612       -27.721979            25.80             0.12              641              139            -1.94             0.31             7.87             0.23   
GSD13       53.101516       -27.720882            24.77             0.03              490               29            -2.35             0.08             8.29             0.16   
GSD14       53.055908       -27.718803            26.00             0.08              501               65            -1.90             0.20             7.94             0.19   
GSD15       53.149536       -27.710285            26.64             0.15              820              288            -2.20             0.57             7.36             0.30   
GSD16       53.147617       -27.707088            26.10             0.08              582               80            -2.08             0.22             7.75             0.20   
GSD17       53.064220       -27.706523            25.41             0.05              465               43            -2.20             0.13             8.12             0.17   
GSD18       53.071292       -27.705802            25.24             0.04              861               66            -2.36             0.11             7.85             0.17   
GSD19       53.181976       -27.705038            25.71             0.06             1002              245            -2.18             0.41             7.72             0.23   
GSD20       53.140815       -27.692390            26.23             0.10              496               82            -1.83             0.26             7.88             0.21   
GSD21       53.100936       -27.676704            24.76             0.10              935              139            -0.95             0.28             8.54             0.21   
GSD22       53.118450       -27.819919            26.76             0.13              870              198            -1.88             0.36             7.41             0.24   
GSD23       53.077606       -27.812795            26.81             0.17             1512              338            -2.22             0.28             7.30             0.25   
GSD24       53.132972       -27.740102            27.77             0.30              698              318            -2.23             0.47             6.95             0.38   
GSD25       53.084388       -27.727920            27.29             0.15              562              164            -2.39             0.43             7.18             0.27   
GSD26       53.141502       -27.724880            26.65             0.10              650              106            -2.10             0.25             7.47             0.21   
GSD27       53.112579       -27.707090            26.91             0.13              954              262            -2.40             0.42             7.15             0.26   
GSD28       53.046119       -27.705604            27.13             0.16             1009              293            -2.14             0.45             7.16             0.28   
GSD29       53.139953       -27.675138            27.79             0.21             1314              557            -2.12             0.74             6.93             0.37   
UDS1       34.275299       -5.274496            25.38             0.09              576               90            -1.33             0.18             8.31             0.20   
