# catalog in Van Dan Wel
#\tablehead{
#\colhead{EELG2011} & \colhead{RA (J2000)} & \colhead{DEC (J2000)} & \colhead{H} & \colhead{$EW_{\rm{[OIII]},5007}$} & \colhead{$\beta_{2500}$} & \colhead{$\log{(M)}$}  
#             &   (deg)   & (deg)      &     (AB)  &         ($\rm{\AA}$)            &                   &     ($\msol$)        
#}
#\startdata
#  0 & 1	 &	2     &     3			      &        4		      &       5		   	      &       6			       
GSD1 & 53.167064 & -27.858936 &      24.67 $ \pm $       0.07 &        459 $ \pm $         40 &      -1.83 $ \pm $       0.09 &       8.57 $ \pm $       0.17   
GSD2 & 53.080345 & -27.850572 &      25.63 $ \pm $       0.07 &        569 $ \pm $         67 &      -2.04 $ \pm $       0.19 &       7.96 $ \pm $       0.19   
GSD3 & 53.046020 & -27.837322 &      25.88 $ \pm $       0.11 &        507 $ \pm $         75 &      -2.02 $ \pm $       0.18 &       7.94 $ \pm $       0.20   
GSD4 & 53.105087 & -27.819974 &      26.20 $ \pm $       0.11 &        769 $ \pm $        143 &      -1.75 $ \pm $       0.30 &       7.72 $ \pm $       0.22   
GSD5 & 53.067508 & -27.773595 &      25.05 $ \pm $       0.08 &        566 $ \pm $         74 &      -2.19 $ \pm $       0.19 &       8.14 $ \pm $       0.19   
GSD6 & 53.097499 & -27.763919 &      24.99 $ \pm $       0.05 &        700 $ \pm $         53 &      -2.12 $ \pm $       0.09 &       8.10 $ \pm $       0.17   
GSD7 & 53.122127 & -27.759542 &      25.44 $ \pm $       0.12 &        535 $ \pm $         99 &      -1.70 $ \pm $       0.28 &       8.20 $ \pm $       0.22   
GSD8 & 53.171936 & -27.759145 &      24.26 $ \pm $       0.04 &        693 $ \pm $         47 &      -1.76 $ \pm $       0.11 &       8.52 $ \pm $       0.17   
GSD9 & 53.078754 & -27.750288 &      24.86 $ \pm $       0.04 &        468 $ \pm $         32 &      -1.99 $ \pm $       0.10 &       8.42 $ \pm $       0.17   
GSD10 & 53.063690 & -27.745853 &      26.37 $ \pm $       0.09 &        759 $ \pm $        134 &      -1.56 $ \pm $       0.33 &       7.72 $ \pm $       0.22   
GSD11 & 53.007499 & -27.741867 &      25.97 $ \pm $       0.09 &        534 $ \pm $         76 &      -2.13 $ \pm $       0.19 &       7.84 $ \pm $       0.20   
GSD12 & 53.114612 & -27.721979 &      25.80 $ \pm $       0.12 &        641 $ \pm $        139 &      -1.94 $ \pm $       0.31 &       7.87 $ \pm $       0.23   
GSD13 & 53.101516 & -27.720882 &      24.77 $ \pm $       0.03 &        490 $ \pm $         29 &      -2.35 $ \pm $       0.08 &       8.29 $ \pm $       0.16   
GSD14 & 53.055908 & -27.718803 &      26.00 $ \pm $       0.08 &        501 $ \pm $         65 &      -1.90 $ \pm $       0.20 &       7.94 $ \pm $       0.19   
GSD15 & 53.149536 & -27.710285 &      26.64 $ \pm $       0.15 &        820 $ \pm $        288 &      -2.20 $ \pm $       0.57 &       7.36 $ \pm $       0.30   
GSD16 & 53.147617 & -27.707088 &      26.10 $ \pm $       0.08 &        582 $ \pm $         80 &      -2.08 $ \pm $       0.22 &       7.75 $ \pm $       0.20   
GSD17 & 53.064220 & -27.706523 &      25.41 $ \pm $       0.05 &        465 $ \pm $         43 &      -2.20 $ \pm $       0.13 &       8.12 $ \pm $       0.17   
GSD18 & 53.071292 & -27.705802 &      25.24 $ \pm $       0.04 &        861 $ \pm $         66 &      -2.36 $ \pm $       0.11 &       7.85 $ \pm $       0.17   
GSD19 & 53.181976 & -27.705038 &      25.71 $ \pm $       0.06 &       1002 $ \pm $        245 &      -2.18 $ \pm $       0.41 &       7.72 $ \pm $       0.23   
GSD20 & 53.140815 & -27.692390 &      26.23 $ \pm $       0.10 &        496 $ \pm $         82 &      -1.83 $ \pm $       0.26 &       7.88 $ \pm $       0.21   
GSD21 & 53.100936 & -27.676704 &      24.76 $ \pm $       0.10 &        935 $ \pm $        139 &      -0.95 $ \pm $       0.28 &       8.54 $ \pm $       0.21   
GSD22 & 53.118450 & -27.819919 &      26.76 $ \pm $       0.13 &        870 $ \pm $        198 &      -1.88 $ \pm $       0.36 &       7.41 $ \pm $       0.24   
GSD23 & 53.077606 & -27.812795 &      26.81 $ \pm $       0.17 &       1512 $ \pm $        338 &      -2.22 $ \pm $       0.28 &       7.30 $ \pm $       0.25   
GSD24 & 53.132972 & -27.740102 &      27.77 $ \pm $       0.30 &        698 $ \pm $        318 &      -2.23 $ \pm $       0.47 &       6.95 $ \pm $       0.38   
GSD25 & 53.084388 & -27.727920 &      27.29 $ \pm $       0.15 &        562 $ \pm $        164 &      -2.39 $ \pm $       0.43 &       7.18 $ \pm $       0.27   
